FE|Fallen Empires
4E|Fourth Edition
IA|Ice Age
CH|Chronicles
HL|Homelands
AL|Alliances
5E|Fifth Edition
MR|Mirage
VI|Visions
WL|Weatherlight
PO|Portal
TP|Tempest
SH|Stronghold
EX|Exodus
PO2|Portal Second Age
UG|Unglued
US|Urza's Saga
AT|Anthologies
UYF|Urza's Legacy Foils
UY|Urza's Legacy
6E|6th Edition
UDF|Urza's Destiny Foils
UD|Urza's Destiny
MMF|Mercadian Masques Foils
MM|Mercadian Masques
NSF|Nemesis Foils
NS|Nemesis
PPF|Prophecy Foils
PP|Prophecy
INF|Invasion Foils
IN|Invasion
PSF|Planeshift Foils
PS|Planeshift
7EF|7th Edition Foils
7E|7th Edition
APF|Apocalypse Foils
AP|Apocalypse
ODF|Odyssey Foils
OD|Odyssey
TRF|Torment Foils
TR|Torment
JMF|Judgment Foils
JM|Judgment
ONF|Onslaught Foils
ON|Onslaught
LEF|Legoins Foils
LE|Legions
SGF|Scourge Foils
SG|Scourge
8EF|8th Edition Foils
8E|8th Edition
MIF|Mirrodin Foils
MI|Mirrodin
DSF|Darksteel Foils
DS|Darksteel
FDF|Fifth Dawn Foils
FD|Fifth Dawn
CKF|Champions of Kamigawa Foils
CK|Champions of Kamigawa
UHF|Unhinged Foils
UH|Unhinged
BKF|Betrayers of Kamigawa Foils
BK|Betrayers of Kamigawa
AN|Arabian Nights
SKF|Saviors of Kamigawa Foils
SK|Saviors of Kamigawa
9EF|9th Edition Foils
9E|9th Edition
RAF|Ravnica: City of Guilds Foils
RA|Ravnica: City of Guilds
GPF|Guildpact Foils
GP|Guildpact
DIF|Dissension Foils
DI|Dissension
CSF|Coldsnap Foils
CS|Coldsnap
TS|Time Spiral
PCF|Planar Chaos Foils
PC|Planar Chaos
FSF|Future Sight Foils
FS|Future Sight
XEF|10th Edition Foils
XE|10th Edition
LWF|Lorwyn Foils
LW|Lorwyn
MTF|Morningtide Foils
MT|Morningtide
SMF|Shadowmoor Foils
SM|Shadowmoor
ETF|Eventide Foils
ET|Eventide
DRB|Dragons Limited Edition Boxed Set
SAF|Shards of Alara Foils
SA|Shards of Alara
JVC|Duel Decks: Jace vs. Chandra
CFF|Conflux Foils
CF|Conflux
DVD|Duel Decks: Divine vs. Demonic
ARF|Alara Reborn Foils
AR|Alara Reborn
M10F|Magic 2010 Core Set Foils
M10|Magic 2010 (M10)
PCH|Planechase
ZENF|Zendikar Foils
ZEN|Zendikar
GVL|Duel Decks: Garruk vs. Liliana
PDS|Premium Deck Series: Slivers
WWKF|Worldwake Foils
WWK|Worldwake
PVC|Duel Decks: Phyrexia vs. The Coalition
ROEF|Rise of the Eldrazi Foils
ROE|Rise of the Eldrazi
M11F|Magic 2011 Core Set Foils
M11|Magic 2011 (M11)
SOMF|Scars of Mirrodin Foils
SOM|Scars of Mirrodin
MBSF|Mirrodin Besieged Foils
MBS|Mirrodin Besieged
NPHF|New Phyrexia Foils
NPH|New Phyrexia
M12F|Magic 2012 Core Set Foils
M12|Magic 2012 (M12)
ISDF|Innistrad Foils
ISD|Innistrad
DKAF|Dark Ascension Foils
DKA|Dark Ascension
AVRF|Avacyn Restocked Foils
AVR|Avacyn Restocked
M13F|Magic 2013 Core Set Foils
M13|Magic 2013 (M13)
RTRF|Return to Ravnica Foils
RTR|Return to Ravnica
GTCF|Gatecrash Foils
GTC|Gatecrash
DGMF|Dragon's Maze Foils
DGM|Dragon's Maze
M14F|Magic 2014 Core Set Foils
M14|Magic 2014 (M14)
THSF|Theros Foils
THS|Theros
BNGF|Born of the Gods Foils
BNG|Born of the Gods
JOUF|Journey into Nyx Foils
JOU|Journey into Nyx
CNSF|Conspiracy Foils
CNS|Conspiracy
M15F|Magic 2015 Core Set Foils
M15|Magic 2015 (M15)
KTKF|Khans of Tarkir Foils
KTK|Khans of Tarkir
FRFF|Fated Reforged Foils
FRF|Fated Reforged
DTKF|Dragons of Tarkir Foils
DTK|Dragons of Tarkir
ORIF|Magic Origins Foils
ORI|Magic Origins
BFZF|Battle for Zendikar Foils
BFZ|Battle for Zendikar
OGWF|Oath of the Gatewatch Foils
OGW|Oath of the Gatewatch
SOIF|Shadows over Innistrad Foils
SOI|Shadows over Innistrad
EMNF|Eldritch Moon Foils
EMN|Eldritch Moon
CN2F|Conspiracy: Take the Crown Foils
CN2|Conspiracy: Take the Crown
KLDI|Kaladesh Inventions
KLDF|Kaladesh Foils
KLD|Kaladesh
