FE|Fallen Empires
4E|Fourth Edition
IA|Ice Age
CH|Chronicles
HL|Homelands
AL|Alliances
5E|Fifth Edition
MR|Mirage
VI|Visions
WL|Weatherlight
PO|Portal
TP|Tempest
SH|Stronghold
EX|Exodus
PO2|Portal Second Age
UG|Unglued
US|Urza's Saga
AT|Anthologies
UY|Urza's Legacy
6E|Classic Sixth Edition
UD|Urza's Destiny
MM|Mercadian Masques
NS|Nemesis
PP|Prophecy
IN|Invasion
PS|Planeshift
7E|7th Edition
AP|Apocalypse
OD|Odyssey
TR|Torment
JM|Judgment
ON|Onslaught
LE|Legions
SG|Scourge
8E|8th Edition
MI|Mirrodin
DS|Darksteel
FD|Fifth Dawn
CK|Champions of Kamigawa
UH|Unhinged
BK|Betrayers of Kamigawa
AN|Arabian Nights
SK|Saviors of Kamigawa
9E|9th Edition
RA|Ravnica
GP|Guildpact
DI|Dissension
CS|Coldsnap
TS|Time Spiral
TT|Timeshifted
PC|Planar Chaos
FS|Future Sight
XE|10th Edition
LW|Lorwyn
MT|Morningtide
SM|Shadowmoor
ET|Eventide
SA|Shards of Alara
JVC|Duel Decks: Jace vs. Chandra
CF|Conflux
DVD|Duel Decks: Divine vs. Demonic
AR|Alara Reborn
M10|Magic 2010 (M10)
PCH|Planechase
ZEN|Zendikar
GVL|Duel Decks: Garruk vs. Liliana
PDS|Premium Deck Series: Slivers
WWK|Worldwake
PVC|Duel Decks: Phyrexia vs. The Coalition
ROE|Rise of the Eldrazi
M11|Magic 2011 (M11)
SOM|Scars of Mirrodin
MBS|Mirrodin Besieged
NPH|New Phyrexia
M12|Magic 2012 (M12)
ISD|Innistrad
DKA|Dark Ascension
AVR|Avacyn Restored
M13|Magic 2013 (M13)
RTR|Return to Ravnica
GTC|Gatecrash
DGM|Dragon's Maze
M14|Magic 2014 (M14)
THS|Theros
BNG|Born of the Gods
JOU|Journey into Nyx
CNS|Conspiracy
M15|Magic 2015 (M15)
KTK|Khans of Tarkir
FRF|Fate Reforged
DTK|Dragons of Tarkir
ORI|Magic Origins
BFZ|Battle for Zendikar
OGW|Oath of the Gatewatch
SOI|Shadows over Innistrad
EMN|Eldritch Moon
CN2|Conspiracy: Take the Crown
KLDI|Kaladesh Inventions
KLD|Kaladesh
